Layer #,Layer,Weights(KB),MACs,Weight_Sparsity(0-1),Activation_Sparsity(0-1),Activations(KB)
1,features.0,13.5,86704128,0.7025462962962963,0.6875700658681442,25088.0
2,features.3,288.0,1849688064,0.8063151041666666,0.3281265570192921,25088.0
3,features.7,576.0,924844032,0.698486328125,0.5312506228077168,12544.0
4,features.10,1152.0,1849688064,0.6033460828993056,0.10937562280771684,12544.0
5,features.14,2304.0,924844032,0.3434109157986111,0.23047248684630103,6272.0
6,features.17,4608.0,1849688064,0.41168212890625,0.1953174824617347,6272.0
7,features.20,4608.0,1849688064,0.3448808458116319,0.14453747807716838,6272.0
8,features.23,4608.0,1849688064,0.2971564398871528,0.140625,6272.0
9,features.27,9216.0,924844032,0.29380544026692706,0.1328125,3136.0
10,features.30,18432.0,1849688064,0.2351099650065104,0.056643116230867346,3136.0
11,features.33,18432.0,1849688064,0.1265284220377604,0.009558852838010204,3136.0
12,features.36,18432.0,1849688064,0.0795805189344618,7.473692602040816e-06,3136.0
13,features.40,18432.0,462422016,0.06594551934136285,1.992984693877551e-05,784.0
14,features.43,18432.0,462422016,0.05967754787868924,9.964923469387754e-06,784.0
15,features.46,18432.0,462422016,0.057535807291666664,0.0,784.0
16,features.49,18432.0,462422016,0.06184344821506076,0.0,784.0
17,classifier.0,802816.0,102760448,0.2225775232120436,0.041748046875,32.0
18,classifier.3,131072.0,16777216,0.1628442406654358,0.0361328125,32.0
19,classifier.6,32000.0,4096000,0.07846630859375,0.0,7.8125
